device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Infinix Zero 5 Pro ,5.98,Corning Gorilla Glass 3,6.5,3.2,0.3,197.0,"Android OS, v7.0 (Nougat)",2,12+13,1,16,128.0,6.0,128,4350,Helio P25,Cortex A53,8.0,Mediatek MT6757,2.6,Mali-T880 MP2,"19,999"
Infinix Hot 6 Pro ,5.99,,6.2,2.9,0.3,158.0,"Android OS, v8.0 (Oreo)",2,13+2,1,5,32.0,3.0,128,4000,Snapdragon 425,,4.0,Qualcomm,1.4,Adreno 308,"7,999"
Infinix Hot S3 ,5.65,,,,,,"Android OS, v8.0 (Oreo)",1,13,1,20,32.0,3.0,128,4000,Snapdragon 430,Cortex A53,8.0,Qualcomm MSM8937,1.4,,"8,999"
Infinix Hot 4 Pro ,5.5,,5.9,3.0,0.3,175.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,3.0,128,4000,MT6737,Cortex A53,4.0,MediaTek,1.3,Mali-T720 MP2,"6,999"
Infinix Zero 5 ,5.98,Corning Gorilla Glass 3,6.5,3.2,0.3,197.0,"Android OS, v7.0 (Nougat)",2,12+13,1,16,64.0,6.0,128,4350,Helio P25,Cortex A53,8.0,Mediatek MT6757,2.6,Mali-T880 MP2,"17,999"
Infinix Note 4 ,5.7,,6.2,3.1,0.3,198.0,"Android OS, v7.0 (Nougat)",1,13,1,8,32.0,3.0,128,4300,MT6753,Cortex A53,8.0,MediaTek,1.3,Mali-T720 MP3,"8,999"
Infinix Hot S3 4GB RAM ,5.65,,,,,,"Android OS, v8.0 (Oreo)",1,13,1,20,64.0,4.0,128,4000,Snapdragon 430,Cortex A53,8.0,Qualcomm MSM8937,1.4,,"10,999"
