device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Oppo F5 6GB RAM ,6.0,,6.1,2.9,0.3,152.0,"Android OS, v7.1 (Nougat)",1,16,1,20,64.0,6.0,256,3200,Helio P23,,8.0,Mediatek MT6763T,2.5,Mali-G71 MP2,"20,199"
Oppo A71 ,5.2,,5.8,2.9,0.3,137.0,"Android OS, v7.1 (Nougat)",1,13,1,5,16.0,3.0,128,3000,MT6750,Cortex-A53,8.0,Mediatek,1.5,Mali-T860MP2,"8,947"
Oppo A37 ,5.0,Corning Gorilla Glass 4,5.6,2.8,0.3,136.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,2.0,256,2630,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno A306,"8,400"
Oppo A57 ,5.2,Corning Gorilla Glass v4,5.8,2.8,0.3,147.0,"Android OS, v6.0 (Marshmallow)",1,13,1,16,32.0,3.0,256,2900,Snapdragon 435,Cortex-A53,8.0,Qualcomm,1.4,Adreno 505,"11,499"
Oppo F3 ,5.5,Corning Gorilla Glass 5,6.0,2.9,0.2,153.0,"Android OS, v6.0 (Marshmallow)",1,13,2,16+8,64.0,4.0,128,3200,MT6750T,Cortex A72,8.0,MediaTek,1.5,MaliT86-MP2,"12,990"
Oppo F5 ,6.0,Corning Gorilla Glass 5,6.1,2.9,0.3,152.0,"Android OS, v7.0 (Nougat)",1,16,1,20,32.0,4.0,256,3200,Helio P23,Cortex A53,8.0,Mediatek MT6763T,2.5,Mali-G71 MP2,"15,499"
Oppo A37f ,5.0,Corning Gorilla Glass 4 ,5.6,2.8,0.3,136.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,2.0,128,2630,Snapdragon 410,Cortex-A53,4.0,Qualcomm,1.2,Adreno 306,"8,990"
Oppo A83 ,5.7,,5.9,2.8,0.3,143.0,Android v7.1.1 (Nougat),1,13,1,8,32.0,3.0,128,3180,MT6737T,Cortex A53,8.0,MediaTek,1.5,Mali-T720 MP2,"10,990"
Oppo F7 128GB ,6.23,Corning Gorilla Glass 5,6.2,2.9,0.2,158.0,"Android OS, v8.1 (Oreo)",1,16,1,25,128.0,6.0,256,3400,Helio P60,Cortex-A73,8.0,Mediatek,2.0,ARM Mali-G72,"23,990"
Oppo A83 (2018) ,5.7,,,,,,"Android OS, v7.1 Nougat ",1,13,1,8,64.0,4.0,256,3180,,,8.0,MediaTek,,,"12,630"
Oppo F7 ,6.23,Corning Gorilla Glass 5,6.2,2.9,0.2,158.0,"Android OS, v8.1 (Oreo)",1,16,1,25,64.0,4.0,256,3400,Helio P60,Cortex-A73,8.0,Mediatek,2.0,ARM Mali-G72,"17,980"
Oppo Find X ,6.42,,6.1,2.9,0.3,186.0,"Android OS, v8.1 (Oreo)",2,16+20,1,25,256.0,8.0,0,3730,Snapdragon 845,Kryo 385,8.0,Qualcomm,2.6,Adreno 630,"59,990"
