,device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
27,Apple iPhone 6S Plus 128GB ,5.5,Ion Strengthened Glass,6.2,3,0.2,192,iOS 9,1,12,1,5,128,2,0,2750,A9,Twister,2,Apple,1.84,Power VR GT7600,49500
28,Apple iPhone 6S Plus 32GB ,5.5,Ion-strengthened glass,6.2,3,0.2,192,iOS 9,1,12,1,5,32,2,0,2750,A9,Twister,2,Apple,1.84,PowerVR GT7600,36999
29,Apple iPhone 6s 128GB ,4.7,Ion-strengthened glass,5.4,2.6,0.2,143,iOS 9,1,12,1,5,128,2,0,1715,A9,Twister,2,Apple,1.84,PowerVR GT7600,66990
30,Apple iPhone 6s 64GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,143,iOS 9,1,12,1,5,64,2,0,1715,A9,Twister,2,Apple,1.84,PowerVR GT7600,39999
31,Apple iPhone 6s Plus ,5.5,Ion-Strengthened Glass,6.2,3,0.2,192,iOS 9,1,12,1,5,16,2,0,2750,A9,Twister,2,Apple,1.84,Power VR GT7600,34999
32,Apple iPhone 6s Plus 64GB ,5.5,Ion-strengthened glass,6.2,3,0.2,192,iOS 9,1,12,1,5,64,2,0,2750,A9,Twister,2,Apple A9,1.84,PowerVR GT7600,53499
33,Apple iPhone 7 ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,138,iOS 10,1,12,1,7,32,2,0,1960,A10 Fusion,,4,Apple,2.3,PowerVR 7XT Plus,46999
34,Apple iPhone 7 128GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,138,iOS 10,1,12,1,7,128,2,0,1960,A10 Fusion,,4,Apple,2.3,PowerVR 7XT Plus,54999
35,Apple iPhone 7 256GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,138,iOS 10,1,12,1,7,256,2,0,1960,A10 Fusion,,4,Apple,2.3,PowerVR 7XT Plus,57868
36,Apple iPhone 7 Plus ,5.5,Ion-strengthened glass,6.2,3,0.2,188,iOS 10,1,12,1,7,32,3,0,2900,A10 Fusion,,4,Apple,2.3,PowerVR 7XT Plus,60990
37,Apple iPhone 7 Plus 128GB ,5.5,Ion-strengthened glass,6.2,3,0.2,188,iOS 10,1,12,1,7,128,3,0,2900,A10 Fusion,,4,Apple,2.23,PowerVR 7XT Plus,66180
38,Apple iPhone 7 Plus 256GB ,5.5,Ion-strengthened glass,6.2,3,0.2,188,iOS 10,1,12,1,7,256,3,0,2900,A10 Fusion,,4,Apple A10 Fusion,2.23,PowerVR Series7XT Plus,73990
39,Apple iPhone 8 ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,148,iOS 11,1,12,1,7,64,2,0,1821,A11 Bionic,,6,Apple,,,61200
40,Apple iPhone 8 256GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,148,iOS 11,1,12,1,7,256,2,0,1821,A11 Bionic,,6,Apple,,,70499
41,Apple iPhone 8 Plus ,5.5,Ion-strengthened glass,6.2,3,0.3,202,iOS 11,1,12,1,7,64,3,0,2675,A11 Bionic,,6,Apple,,,71899
42,Apple iPhone 8 Plus 256GB ,5.5,Ion-strengthened glass,6.2,3,0.3,202,iOS 11,1,12,1,7,256,3,0,2675,A11 Bionic,,6,Apple,,,83999
43,Apple iPhone 9 ,5.2,,,,,,iOS 11,1,12,1,7,64,2,0,2050,A11,,8,Apple,,,74990
44,Apple iPhone SE ,4,,4.8,2.3,0.3,113,iOS 9.3.2,1,12,2,1+2,16,2,0,1624,A9,Twister,2,Apple,1.84,PowerVR GT7600,17990
45,Apple iPhone SE 128GB ,4,,4.8,2.3,0.3,113,iOS 9,1,12,2,1+2,128,2,0,1624,A9,Twister,2,Apple,1.8,PowerVR GT7600,39667
46,Apple iPhone SE 2 ,4.2,,,,,,iOS 11,1,12,1,7,32,2,0,1624mAh,A10 Fusion,,4,Apple,2.3,,39999
47,Apple iPhone SE 32GB ,4,Ion-Strengthened Glass,4.8,2.3,0.3,113,iOS 9.3.2,1,12,2,1+2,32,2,0,1624,A9,Twister,2,Apple,1.84,PowerVR GT7600,17975
48,Apple iPhone SE 64GB ,4,,4.8,2.3,0.3,113,iOS 9.3.2,1,12,2,1+2,64,2,0,1624,A9,Twister,2,Apple,1.84,PowerVR GT7600,32999
49,Apple iPhone X ,5.8,Scratch Resistant Glass,5.6,2.7,0.3,174,iOS 11,1,12,1,7,64,3,0,2716,A11 Bionic,,6,Apple,,,89000
50,Apple iPhone X 256GB ,5.8,Scratch Resistant Glass,5.6,2.7,0.3,174,iOS 11,1,12,1,7,256,3,0,2716,A11 Bionic,,6,Apple,,,98200
51,Asus ROG Phone ,6,Corning Gorilla Glass,6.2,3,0.3,200,"Android OS, v8.1 (Oreo)",2,12+8,1,8,128,8,0,4000,Snapdragon 845,Kryo 385,8,Qualcomm SDM845,2.9+1.7,Adreno 630,63999
52,Asus ZenFone 2 Deluxe ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,64,4,256,3000,,,4,,1.8,PowerVR G6430,22999
53,Asus ZenFone 2 ZE500KL 16GB ,5,,,,,140,,1,13,1,5,16,2,128,2070,Snapdragon 410,,4,Qualcomm,1.2,Adreno 306,8890
54,Asus ZenFone Selfie ZD551KL 16GB ,5.5,Corning Gorilla Glass 4,6.1,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,13,16,2,256,3000,Snapdragon 615,Cortex-A53,8,Qualcomm MSM8939 ,1.5,Adreno 405,14999
55,Asus Zenfone 2 Deluxe 128GB ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,128,4,256,3000,,,4,,1.8,PowerVR G6430,29999
56,Asus Zenfone 2 Laser ZE500KL ,5,,5.6,2.8,0.4,140,"Android OS, v5.0 (Lollipop)",1,13,1,5,8,2,128,2400,Snapdragon 410,Cortex-A53,4,Qualcomm MSM8916,1.2,Adreno 306,9999
57,Asus Zenfone 2 Laser ZE550KL ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,16,2,256,3000,Snapdragon 410,Cortex-A53,4,Qualcomm MSM8916,1.2,Adreno 306,8499
58,Asus Zenfone 2 Laser ZE550KL 3GB RAM ,5.5,Corning Gorilla Glass 4,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,16,3,128,3000,Snapdragon 615,Cortex-A53,8,Qualcomm MSM8939,1.5+1.0,Adreno 405,11500
59,Asus Zenfone 2 Laser ZE601KL ,6,,6.4,3.3,0.4,190,"Android OS, v5.0 (Lollipop)",1,13,1,5,32,3,256,3000,Snapdragon 616,Cortex-A53,8,Qualcomm MSM8939v2 ,1.7+1.2,Adreno 405,17999
60,Asus Zenfone 2 ZE500ML ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,16,2,128,3000,,,4,,1.8,PowerVR G6430,12999
61,Asus Zenfone 2 ZE550ML ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,16,2,128,3000,,,4,,1.8,PowerVR G6430,8490
62,Asus Zenfone 2 ZE551ML (2GB RAM 16GB ROM 1.8 GHz) ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,16,2,128,3000,,,4,,1.8,PowerVR G6430,6999
63,Asus Zenfone 2 ZE551ML (2GB RAM 16GB ROM 2.3 GHz) ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,16,2,256,3000,,,4,,2.3,PowerVR G6430,7999
64,Asus Zenfone 2 ZE551ML (4GB RAM 16GB ROM 1.8 GHz) ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,16,4,256,3000,,,4,,1.8,PowerVR G6430,16999
65,Asus Zenfone 2 ZE551ML (4GB RAM 32GB ROM 1.8 GHz) ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,32,4,128,3000,,,4,,1.8,PowerVR G6430,14999
