,device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
399,Intex Aqua Lions X1 ,5.2,,5.9,2.9,0.3,170,"Android OS, 7.0 (Nougat)",1,13,1,5,16,2,128,2800,MTK6737,Cortex-A53,4,MediaTek,1.3,ARM Mali-T720 MP1,5399
400,Intex Aqua Lions X1 Plus ,5.2,,5.9,2.9,0.3,170,"Android OS, v7.0 (Nougat)",1,13,1,5,32,3,128,2800,MT6737,Cortex A53,4,MediaTek,1.3,Mali-T720 MP1,6090
401,Intex Aqua Lite ,4,,,,,115,"Android OS, v5.1 (Lollipop)",1,2,1,2,4,0.5,32,1400,,Cortex A7,4,,1.3,,5950
402,Intex Aqua Music ,5.5,,,,,159,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16,2,32,3400,,Cortex-A53,4,,1.3,Mali T720 MP2,8500
403,Intex Aqua Note 5.5 ,5.5,,6,3,0.4,177,"Android OS, v7.0 (Nougat)",1,8,1,5,16,2,128,2800,MT6737V,Cortex A53,4,MediaTek,1.25,Mali-T720 MP2,4999
404,Intex Aqua Play ,4,,,,,115,"Android OS, v5.1 (Lollipop)",1,0.3,2,0+3,8,0.5,32,1400,,Cortex A7,2,MediaTek MT6572W,1.2,Mali-400 MP,3190
405,Intex Aqua Power ,5,,5.5,2.8,0.3,160,"Android OS, v4.4 (KitKat)",1,8,1,2,8,1,32,4000,,Cortex-A7,8,Mediatek MT6592M,1.4,Mali-450MP4,7200
406,Intex Aqua Power 4G ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,2,8,1,32,3800,,Cortex A53,4,,1,Mali-T720,5695
407,Intex Aqua Power HD ,5,,,,,153,"Android OS, v4.4 (KitKat)",1,13,1,5,16,2,32,3900,,,8,,1.4,,8689
408,Intex Aqua Power HD 4G ,5,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,5,16,2,32,3900,,Cortex A7,4,MediaTek MT6592M,1.4,Mali-450 MP4,8999
409,Intex Aqua Power II ,5,,,,,152,"Android OS, v5.1 (Lollipop)",1,5,1,2,8,1,32,4000,,,4,,1.3,,5999
410,Intex Aqua Power IV ,5,,5.7,2.8,0.3,158,"Android OS, v7.0 (Nougat)",1,5,1,5,16,1,128,4000,MTK6737,Cortex,4,MediaTek,1.3,Mail-T720 MP1,4495
411,Intex Aqua Power M ,5,,,,,160,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8,1,32,4350,,Cortex A7,4,MTK6580,1.3,,5899
412,Intex Aqua Power Plus ,5,,5.7,2.8,0.3,156,"Android OS, v5.0 (Lollipop)",1,13,1,5,16,2,32,4000,,Cortex-A7,4,Mediatek MT6582M,1.3,Mali-400MP2,6830
413,Intex Aqua Pride ,5,,,,,150,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8,1,32,2800,,Cortex A7,4,,1.3,,3900
414,Intex Aqua Prime 4G ,5.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,2,8,1,32,2800,,Cortex A53,4,MTK 6735P,1,ARM-Mali760,4999
415,Intex Aqua Pro ,4.7,,,,,132,Android v4.4 (Kitkat),1,8,1,2,4,0.5,32,1800,,,4,,1.2,,4269
416,Intex Aqua Pro 4G ,4.5,,,,,140,"Android OS, v6.0 (Marshmallow) ",1,5,1,2,8,1,32,2000,,,4,,1.3,Mali 400,3995
417,Intex Aqua Q1 Plus ,4.5,,,,,120,"Android OS, v4.4 (KitKat)",1,5,2,1+3,8,0.5,32,1600,,Cortex A7,4,Spreadtrum SC7731,1.2,Mali-400 MP2,4500
418,Intex Aqua Q5 ,4.5,,,,,138,"Android OS, v4.4 (Kitkat)",1,8,1,2,8,1,32,1600,,Cortex A7,4,Spreadtrum SC7731G,1.3,Mali-400 MP2,4550
419,Intex Aqua Q7 ,4.5,,,,,106,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,8,0.5,32,2000,,Cortex A7,4,,1.2,Mali-400 MP2,3190
420,Intex Aqua Q7 Pro ,4.5,,,,,106,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,8,1,32,2000,,Cortex A7,4,,1.2,Mali-400 MP2,3690
421,Intex Aqua Q7N ,4.5,,,,,,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,0.5,32,2000,,Cortex A7,4,,1.2,Mali400MP,4190
422,Intex Aqua Q7N Pro ,4.5,,,,,,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,1,32,2000,,Cortex-A7,4,,1,Mali400MP,3490
423,Intex Aqua Q8 ,4.5,,,,,139,"Android OS, v6.0 (Marshmallow)",1,5,2,0+3,8,1,32,1650,,Cortex A7,4,,1.2,Mali400MP,2814
424,Intex Aqua R3 Plus ,3.5,,,,,120,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,32,1300,,,1,,1,,4499
425,Intex Aqua R4 Plus ,4,,,,,115,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,32,1380,,,1,,1,,2800
426,Intex Aqua Raze ,4.5,,,,,,"Android OS, v5.1 (Lollipop)",1,5,1,2,8,1,32,1800,,Cortex A53,4,MediaTek MT6735M,1,Mali-T720 MP2,5591
427,Intex Aqua Ring ,5,,,,,159,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8,1,32,2450,,,4,,1.3,Mali-400MP,5100
428,Intex Aqua S2 ,5,,,,,153,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8,1,32,2450,,Cortex A7,4,,1.2,Mali-400MP,4849
429,Intex Aqua S3 ,5,,5.7,2.8,0.3,165,"Android OS, v7.0 (Nougat)",1,8,1,5,16,2,64,2450,9832A,Cortex,4,Spreadtrum,1.3,Mali MP2 512,4990
430,Intex Aqua S7 ,5,,,,,150,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16,3,32,3200,,,4,,1.3,Mali-T720 MP2,9905
431,Intex Aqua Secure ,4.5,,,,,130,"Android OS, v5.1 (Lolipop)",1,5,1,2,8,1,32,1900,,Cortex A53,4,,1,Mali400,5989
432,Intex Aqua Selfie ,5.5,,6.1,3,0.3,178,"Android OS, v7.0 (Nougat)",1,8,1,5,16,2,64,3000,9832A,,4,Spreadtrum,1.3,Mali 512,5055
433,Intex Aqua Sense 5.0 ,5,,,,,160,"Android OS, v4.4 (KitKat)",1,5,2,0+3,8,0.5,32,2000,,Cortex A7,4,Spreadtrum SC7731,1.2,Mali-400 MP2,3299
434,Intex Aqua Sense 5.1 ,5,,,,,,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,8,0.5,32,2500,,Cortex A7,4,Spreadtrum SC7731,1.2,Mali-400 MP,2999
435,Intex Aqua Shine 4G ,5,,,,,,"Android OS, v5.0 (Lollipop)",1,8,1,5,16,2,32,3000,,Cortex,4,,1.3,,8499
436,Intex Aqua Slice II ,5,,,,,97,"Android OS, v5.1 (Lollipop)",1,5,1,2,8,1,32,2000,,Cortex A7,4,Spreadtrum SC7731,1.2,Mali-400 MP2,4700
437,Intex Aqua Speed ,4.5,,5.3,2.6,0.3,120,"Android OS, v4.4 (KitKat)",1,8,1,5,16,2,32,1700,,Cortex-A7,4,Mediatek MT6582M,1.3,Mali-400MP2,5000
438,Intex Aqua Speed HD ,4.7,,5.3,2.6,0.3,120,Android v4.4.2 (KitKat),1,8,1,5,16,2,32,1700,,,,,1.3,,4999
439,Intex Aqua Speed HD 8GB ,4.7,,,,,,"Android OS, v4.4 (Kitkat)",1,8,1,5,8,1,32,1700,,Cortex A7,4,,1.3,Mali-400 MP2,5560
440,Intex Aqua Star 2 16 GB ,5,,5.5,2.8,0.3,122,"Android OS, v4.4 (KitKat)",1,8,1,5,16,2,32,2000,,,4,Spreadtrum 7731,1.2,Mali-400,6049
441,Intex Aqua Star 4G ,5,,,,,150,"Android OS, v5.1 (Lollipop)",1,8,1,2,8,1,128,2000,,Cortex-A53,4,,1,Mali-T720 MP1,7200
442,Intex Aqua Star II ,5,,5.5,2.8,0.3,122,"Android OS, v4.4 (KitKat)",1,8,1,5,8,1,32,2000,,,4,Spreadtrum 7731,1.2,Mali-400 MP2,5649
443,Intex Aqua Star II HD ,5,,5.5,2.8,0.3,122,"Android OS, v4.4.2 (KitKat)",1,8,1,5,8,1,32,2000,,,,Spreadtrum 7731,,Mali-400,5200
444,Intex Aqua Strong 5.1 ,5,,,,,150,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8,1,32,2800,,Cortex A53,4,,1,Mali-T720 MP1,4400
445,Intex Aqua Strong 5.1 Plus ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8,1,64,2000,,Cortex A7,4,,1.3,Mali-400 MP2,3999
446,Intex Aqua Strong 5.2 ,5,,,,,150,"Android OS, v6.0 (Marshmallow)",1,5,1,2,16,2,32,2800,,,4,MediaTek MT6735,1,,6600
447,Intex Aqua Style 3 ,5,,,,,164,"Android OS, v7.0 (Nougat)",1,5,1,5,16,1,32,2500,SC9832A,Cortex A7,4,Spreadtrum,1.2,Mali-400 MP2,3999
448,Intex Aqua Super ,5,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,2,16,3,128,2150,,Cortex A53,4,,1,,5890
449,Intex Aqua Supreme Plus ,5,,5.6,2.8,0.3,133,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16,2,128,3000,MTK6737,Cortex A53,4,MediaTek,1.3,ARM T720,5050
450,Intex Aqua Trend ,5,,5.6,2.8,0.3,158,"Android OS, v5.1 (Lollipop)",1,13,1,5,16,2,32,3000,,Cortex-A53,4,Mediatek MT6735,1.3,Mali-T720MP2,9000
451,Intex Aqua Trend Lite ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8,1,128,2600,,,4,,1.2,,4149
452,Intex Aqua Turbo 4G ,5,,,,,150,"Android OS, v5.1 (Lollipop)",1,5,1,2,8,1,32,3000,,Cortex A53,4,,1,Mali-T720 MP1,3699
453,Intex Aqua Twist ,5,,,,,175,"Android OS, v5.1 (Lollipop)",1,5,1,5,8,1,32,2200,,Cortex A7,4,,1.3,Mali-400MP2,3999
454,Intex Aqua V5 ,3.5,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.25,32,1100mAh,,Cortex A7,1,,1,Mali-400,2989
455,Intex Aqua View ,5,,,,,146,"Android OS, v5.1 (Lollipop)",1,8,1,5,16,2,32,2200,,Cortex-A53,4,,1,,7200
456,Intex Aqua Virturbo ,4,,,,,124,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,4,0.5,32,2000,,Cortex A7,4,Spreadtrum SC7731G,1.2,Mali-400 MP2,3999
457,Intex Aqua Viturbo ,4,,,,,,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,4,0.5,32,2000,,,4,,1.2, Mali-400MP,3999
458,Intex Aqua Wave ,4,,,,,113,"Android OS, v4.4 (KitKat)",1,0.3,2,0+3,0.5,0.25,32,1400,,Cortex A7,1,,1,Mali-400 MP,2949
459,Intex Aqua Wing ,4,,,,,115,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,1,32,1500,,Cortex A53,4,,1,,4836
460,Intex Aqua Xtreme II ,5,,5.5,2.8,0.3,132,"Android OS, v4.4 (KitKat)",1,13,1,5,16,2,32,2000,,Cortex-A7,8,Mediatek MT6592M,1.4,Mali-450MP4,5699
461,Intex Aqua Y2 Power ,4,,,,,133,"Android OS, v4.4 (Kitkat)",1,5,1,2,4,0.5,32,2900,,Cortex A7,4,Spreadtrum SC7731,1.2,Mali-400 MP2,3990
462,Intex Aqua Y2 Pro ,4.5,,,,,141,"Android OS, v4.4 (KitKat)",1,5,2,0+3,4,0.5,32,1600,,Cortex A7,2,MediaTek MT6572,1,Mali-400 MP,4790
463,Intex Aqua Y2 Ultra ,4,,4.8,2.4,0.3,108,"Android OS, v4.4 (Kitkat)",1,5,2,0+3,8,1,32,1400,SC7731G,Cortex A7,4,Spreadtrum,1.2,Mali-400 MP2,5050
464,Intex Aqua Y4 ,4.5,,,,,132,"Android OS, v4.4 (Kitkat)",1,5,1,2,4,0.5,32,1700,,Cortex A7,2,,1,Mali-400,4590
465,Intex Aqua Young ,5,,,,,158,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,1,32,2500,,,4,,1.3,,4400
466,Intex Aqua Young 4G ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8,1,32,2800,,Cortex A53,4,MTK6737M,1.1,ARM Mali-T720,5000
467,Intex Aqua Zenith ,5,,,,,,"Android OS, v7.0 (Nougat)",1,5,1,2,8,1,128,2000,MT6592,,4,MediaTek,1.1,,4400
468,Intex Bar Platinum Dream ,2.4,,,,,73,,1,0.3,0,,,,8,1000,,,,,,,1389
469,Intex Blade ,2.4,,,,,73,,1,0.3,0,,,,32,950,,,,,,,1432
470,Intex Candy ,1.8,,,,,70,,1,0.3,0,,,,32,800,,,,,,,1050
471,Intex Cloud Breeze ,5,,,,,153,"Android OS, v4.4 (Kitkat)",1,5,1,2,8,1,32,2300,,Cortex-A7,2,,1.2,,3844
472,Intex Cloud C1 ,4,,4.9,2.5,0.3,110,"Android OS, v7.0 (Nougat)",1,5,1,2,8,1,128,1750,SC9832,Cortex A53,4,Spreadtrum,1.3,,3100
473,Intex Cloud Candy ,4,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.5,32,1400,,,1,,1,,2699
474,Intex Cloud Crystal 2.5D ,5,,,,,150,"Android OS, v5.1 (Lollipop)",1,8,1,2,16,3,32,2200,,Cortex A53,4,MediaTek MT6735P,1,Mali-T720 MP2,5180
475,Intex Cloud Cube ,4.5,,,,,145,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,8,0.5,32,2000,,Cortex-A7,4,,1.2,,5999
476,Intex Cloud Force ,5,,,,,,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,1,32,2500,,,4,,1.3,,4800
477,Intex Cloud Gem Plus ,4,,,,,114,"Android OS, v5.1 (Lollipop)",1,2,1,2,4,0.5,32,1400,,,4,,1.3,Mali400,3920
478,Intex Cloud Glory 4G ,4.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8,1,32,1800,,Cortex A53,4,,1,MaliT720-MP1,8029
479,Intex Cloud Jewel ,5,,,,,140,"Android OS, v5.1 (Lollipop)",1,8,1,2,16,2,32,2500,,Cortex A7,4,,1,Mali-T720,5799
480,Intex Cloud M6 16GB ,5,,,,,122,,1,8,1,5,16,2,32,2000,,,,,,,5751
481,Intex Cloud Matte ,5,,,,,165,"Android OS, v5.1 (Lollipop)",1,8,1,2,8,0.5,32,2100,,,4,,1.2,MALI-400MP2,4498
482,Intex Cloud N4 ,4,,,,,,"Android OS, v4.4 (Kitkat)",1,2,2,0+3,0.5,0.25,32,1500,,,1,,1,,2440
483,Intex Cloud Pace ,4.5,,,,,120,"Android OS, v5.1 (Lollipop)",1,8,1,5,16,2,32,1700,,,4,,1.3,,5000
484,Intex Cloud Power Plus ,5,,,,,156,"Android OS, 5.0 (Lollipop)",1,13,1,5,16,2,32,4000,,Cortex A7,4,MediaTek MT6582M,1.3,Mali-400,7109
485,Intex Cloud Q11 ,5.5,,5.1,2.8,0.3,170,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8,1,32,2800,MT6580,Cortex A53,4,MediaTek,1.3,Mali-400MP,5200
486,Intex Cloud Scan FP ,5,,,,,153,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8,1,32,2450,,Cortex A7,4,,1.2,Mali400MP,4799
487,Intex Cloud String V2 ,5,,,,,150,"Android OS, v5.1 (Lollipop)",1,8,1,5,16,2,32,2200,,Cortex A7,4,,1.3,Mali400,6899
488,Intex Cloud Style ,5,,5.7,2.9,0.3,140,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8,1,32,2500,SC9832A,Cortex A7,4,Spreadtrum ,1.3,Mali-400 MP2,4599
489,Intex Cloud Swift ,5,,,,,,Android 5.1 (Lollipop),1,8,1,5,16,3,128,2500,,Cortex A53,4,,1.3,,7299
490,Intex Cloud Swing ,4,,,,,113,"Android OS, v4.4 (Kitkat)",1,0.3,2,0+3,0.5,0.25,32,1400,,Cortex A7,1,,1,Mali-400 MP,3100
491,Intex Cloud Tread ,5,,,,,,"Android OS, v5.1 (Lollipop)",1,5,1,5,16,2,32,2200,,,6,,1.5,,5599
492,Intex Cloud V ,5,,,,,160,"Android OS, v4.4 (Kitkat)",1,8,1,2,8,0.5,32,2000,,Cortex A7,4,Spreadtrum SC7731,1.2,Mali-400 MP2,4799
493,Intex Cloud X15 Plus ,3.5,,,,,100,"Android OS, v4.4 (Kitkat)",1,2,2,0+3,0.5,0.25,32,1100,,Cortex A7,1,,1,Mali-400,2990
494,Intex Cloud Zest ,5,,,,,152,"Android OS, v5.1 (Lollipop)",1,5,1,2,8,1,32,4000,,Cortex A7,4,,1.3,Mali-400 MP2,4999
495,Intex Cool I4 ,2.4,,,,,95,,1,0.3,0,,,,64,1400,,,,,,,1090
496,Intex ECO i12 ,1.8,,,,,,,1,0.3,0,,,,64,800,,,,,,,699
497,Intex Eco 102 ,1.8,,,,,,,1,0.3,0,,,,32,800,,,,,,,102
498,Intex Eco 102 Plus ,1.8,,4.3,1.8,0.5,165,,1,0.3,0,,,,32,800,,,,,,,102
499,Intex Eco 102e ,1.8,,,,,70,,1,0.3,0,,20KB,,32,800m,,,,,,,102
500,Intex Eco 105 ,1.8,,,,,64,,1,0.3,0,,20KB,,32,800,,,,,,,105
501,Intex Eco 105e ,,,,,,64,,1,0.3,0,,20KB,,32,800,,,,,,,105
502,Intex Eco 106 Plus ,1.8,,4.4,1.8,0.5,72,,1,0.3,0,,,,32,1000,,,,,,,106
503,Intex Eco 205 ,1.8,,,,,,,1,0.3,0,,,,8,1800,,,,,,,205
504,Intex Eco 206 ,1.8,,,,,,,1,0.3,0,,,,64,1750,,,,,,,206
505,Intex Eco 210 ,1.8,,,,,71,,1,0.3,0,,34.5KB,,32,800,,,,,,,210
506,Intex Eco 210 Plus ,1.8,,,,,,,1,0.3,0,,,,32,1800,,,,,,,210
507,Intex Eco 2400 ,1.8,,,,,92,,1,0.3,0,,,,32,2400,,,,,,,2400
508,Intex Eco A1 Plus ,1.8,,,,,,,1,0.3,0,,,,32,1000,,,,,,,811
509,Intex Eco Beats ,1.8,,,,,69.5,,1,0.3,0,,85.5 kb,,32,800,,,,,,,749
510,Intex Eco Music ,1.8,,,,,,,1,0.3,0,,,,32,1000,,,,,,,745
511,Intex Eco Plus ,1.8,,,,,,,1,0.3,0,,,,32,800,,,,,,,1100
512,Intex Eco Selfie ,1.8,,,,,,,1,0.3,2,0+3,,,32,1800,,,,,,,799
513,Intex Eco Selfie 2 ,1.8,,,,,,,1,0.3,2,0+3,,,8,800,,,,,,,831
514,Intex Eco Sports Plus ,1.8,,,,,,,1,0.3,0,,,,32,800,,,,,,,799
515,Intex Eco i10 ,1.8,,,,,,,1,0.3,0,,,,32,800,,,,,,,1099
516,Intex Elyt Dual ,5,,,,,149,"Android OS, v7.0 (Nougat)",1,8,2,8+2,16,2,128,2400,,Cortex A7,4,Spreadtrum,1.3,Mali-400,5089
517,Intex Elyt e6 ,5,,5.7,2.8,0.3,167,"Android OS, v7.0 (Nougat)",1,13,1,8,32,3,128,4000,,Cortex-A53,4,Mediatek,1.25,Mali-T720,6999
518,Intex Elyt-E7 ,5.2,,5.5,2.7,0.2,156,"Android OS, v7.0 (Nougat)",1,13,1,5,32,3,128,4020,M6737,Cortex-A53,4,Mediatek,1.2,Mali-T720 MP1,6950
519,Intex Elyt-e1 ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,8,16,2,128,2200,Snapdragon 410,,4,Qualcomm,1.2,,7200
520,Intex Feel ,4,,,,,108,,1,1.3,0,,,0.25,32,1200,,,,,,,1707
521,Intex Flash K5 ,2.4,,,,,88,,1,0.3,0,,,,64,1450,,,,,,,3250
522,Intex Flash P1 ,2.4,,,,,107,,1,0.3,0,,,,8,3000,,,,,,,1149
523,Intex Flip X2 ,2.4,,,,,,,1,0.3,0,,,,64,1800,,,,,,,1299
524,Intex Flip X4 ,2.4,,,,,,,1,0.3,0,,,,64,1200,,,,,,,1180
525,Intex Forca ,2.8,,,,,,,1,0.3,0,,,,32,2400,,,,,,,1600
526,Intex Force ZX ,2.4,,,,,98,,1,0.3,0,,,,64,1800,,,,,,,1209
527,Intex Glory ,2.8,,,,,88,,1,3,0,,20KB,,32,1250,,,,,,,1299
528,Intex Gold ,2.4,,,,,80,,1,0.3,0,,,,32,1450,,,,,,,1427
529,Intex Grand EON ,2.8,,,,,,,1,0.3,0,,,,32,2500,,,,,,,1680
530,Intex Hero Plus ,2.4,,,,,,,1,0.3,0,,,,64,1700,,,,,,,1499
531,Intex IN-Fabio ,2.4,,,,,,,1,0.3,0,,,,64,2400,,,,,,,1474
532,Intex IN-Rodeo ,2.4,,,,,112,,1,0.3,0,,,,32,1800,,,,,,,1900
533,Intex IN-Sturdy ,2.4,,,,,107,,1,0.3,0,,,,64,3000,,,,,,,1595
534,Intex In-Trif ,2.8,,,,,92,,1,0.3,0,,,,64,1000,,,,,,,1220
535,Intex Indie 15 ,5.2,,,,,,"Android OS, v7.0 Nougat",1,13,1,5,16,2,128,2800,MTK6737,Cortex A53,4,MediaTek,1.3,,4999
536,Intex Indie 5 ,5,,,,,,"Android OS, v7.0 (Nougat)",1,8,1,8,16,2,128,4000,MT6737,,4,MediaTek,1.25,Mali-T720,4999
537,Intex Infie 3 ,4.95,,,,,,"Android OS, v8.1 (Oreo)",1,5,1,2,8,1,128,2000,,,4,,1.1,,4649
538,Intex Infie 33 ,5.34,,5.5,2.3,0.3,148,"Android OS, v7.0 (Nougat)",1,5,1,5,8,1,128,3000,,,4,Spreadtrum,,MALI T820,5490
540,Intex It Stun ,2.8,,,,,108,,1,0.3,0,,,,64,1800,,,,,,,1829
541,Intex Jazz 2 ,2.4,,,,,,,1,0.3,0,,20KB,,32,1800,,,,,,,1166
542,Intex Killer 3 ,2.4,,,,,95,,1,0.3,0,,,,32,1800,,,,,,,1399
543,Intex Lions G1 ,2.4,,,,,120,,1,0.3,0,,34KB,,64,1450,,,,,,,1200
546,Intex Mega 1800 ,2.8,,,,,,,1,0.3,0,,,,64,1800,,,,,,,1800
547,Intex Mega 2400 ,2.8,,,,,,,1,0.3,0,,,,64,2400,,,,,,,2400
551,Intex Power 2 ,2.4,,,,,93,,1,0.3,0,,60KB,,32,1800,,,,,,,3499
552,Intex Power Pro ,2.4,,,,,,,1,0.3,0,,,,64,1450,,,,,,,1300
553,Intex Staari 10 ,5.2,,5.9,2.9,0.3,170,"Android OS, v7.0 (Nougat)",1,13,1,5,32,3,128,2800,MT6737,Cortex-A53,4,MediaTek,1.3,ARM Mali-T720,5999
554,Intex Staari 12 ,5,,,,,,"Android OS, v7.0 (Nougat)",1,13,1,8,32,3,128,4000,,,4,,1.25,,5999
555,Intex Star PDA ,4,,,,,,,1,1.3,0,,,0.5,32,1200,,,,,,,2490
556,Intex Turbo 18 ,2.8,,,,,,,1,0.3,2,0+3,,,32,1800,,,,,,,1098
557,Intex Turbo 2400 ,2.4,,,,,,,1,0.3,0,,,,64,2400,,,,,,,2400
558,Intex Turbo A8 ,3.2,,,,,101,,1,0.3,0,,,,32,1450,,,,,,,1750
559,Intex Turbo Berry ,2.3,,,,,82,,1,0.3,0,,,,16,1400,,,,,,,1690
560,Intex Turbo Curve ,2.8,,,,,96,,1,0.3,0,,0.03125,,64,1750,,,,,,,1349
561,Intex Turbo Ego ,2.4,,,,,70,,1,0.3,0,,20KB,,32,950,,,,,,,1123
562,Intex Turbo M5 ,2.4,,,,,,,1,0.3,0,,,,32,1450,,,,,,,1239
563,Intex Turbo Music ,2.4,,,,,,,1,0.3,0,,,,32,1500,,,,,,,1270
564,Intex Turbo S1 ,2.4,,,,,83,,1,0.3,0,,,,32,1800,,,,,,,1925
565,Intex Turbo S1 Plus ,2.4,,,,,,,1,0.3,0,,,,32,1800,,,,,,,1199
566,Intex Turbo S3 ,2.4,,,,,93,,1,0.3,0,,,,64,1750,,,,,,,1450
567,Intex Turbo S3 Plus ,2.4,,,,,95,,1,0.3,0,,,,64,1750,,,,,,,1280
568,Intex Turbo S5 ,2.4,,,,,85,,1,0.3,0,,,,32,1500,,,,,,,1210
569,Intex Turbo S7 ,2.4,,,,,,,1,0.3,0,,,,64,1400,,,,,,,1395
570,Intex Turbo Selfie 18 ,2.4,,,,,,,1,0.3,0,,,,,1800,,,,,,,1095
571,Intex Turbo Selfie Plus ,2.4,,,,,,,1,0.3,,,,,32,1450,,,,,,,1199
572,Intex Turbo Star ,2.4,,,,,94,,1,0.3,0,,,,32,1800,,,,,,,1081
573,Intex Turbo i14 ,2.4,,4.5,1.8,0.4,68,,1,0.3,0,,,,64,1000,,,,,,,1000
574,Intex Turbo i6 ,2.4,,,,,89,,1,0.3,0,,60KB,,32,1150,,,,,,,2180
575,Intex Turbo i7 ,2.4,,5,2,0.4,91,,1,0.3,0,,,,32,1500,,,,,,,1229
576,Intex Turbo i7 Pro ,2.4,,,,,,,1,1.3,0,,,,32,1500,,,,,,,1345
577,Intex Ultra 2400 ,2.4,,,,,,,1,0.3,0,,,,16,2350,,,,,,,2400
578,Intex Ultra 2400 Plus ,2.4,,,,,,,1,0.3,0,,,,32,2400,,,,,,,2400
579,Intex Ultra 3000 ,2.4,,,,,109,,1,0.3,0,,,,32,3000,,,,,,,3000
580,Intex Ultra 4000i ,2.8,,5.8,2.5,4,150,,1,0.3,0,,,,64,4000,,,,,,,4000
581,Intex Ultra G3 ,2.8,,,,,,,1,0.3,0,,15KB,,32,3000,,,,,,,1399
582,Intex Ultra Magic ,2.8,,5.2,2.2,0.4,101,,1,0.3,0,,,,32,1800,,,,,,,1199
583,Intex Ultra Selfie ,2.8,,,,,,,1,0.3,2,0+3,,,32,3000,,,,,,,1336
584,Intex Yaari ,1.8,,,,,64,,1,0.3,0,,,,32,800,,,,,,,1048
586,Karbonn A1 Champ Alfa ,3.5,,,,,105,"Android OS, v4.4 (KitKat)",1,3,2,0+3,0.5,0.5,32,1300,,,1,,1.2,,2999
587,Karbonn A1 Indian 4G ,4,,,,,,"Android OS, v7.0 (Nougat)",1,3.2,1,2,8,1,32,1500,,,4,,1.1,,2790
588,Karbonn A1 Plus Champ ,3.5,,,,,,Android v4.4 (KitKat),1,3,2,0+3,0.5,0.25,32,1300,,,2,,1,,2222
589,Karbonn A106 ,3.5,,,,,,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,32,1200,,,2,,1,,2472
590,Karbonn A108 ,3.5,,,,,,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,32,1500,,,1,,1,,2590
591,Karbonn A108 Plus ,3.5,,,,,115,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.25,32,1100,,,1,,1,,2700
592,Karbonn A109 3G ,4,,,,,108,"Android OS, v4.4 (KitKat)",1,2,2,0+3,4,0.5,32,1300,,,1,,1,,2699
593,Karbonn A40 4G ,4,,,,,,"Android OS, v7.0 (Nougat)",1,5,2,0+3,8,1,,1400,,,4,,1.3,,2990
594,Karbonn A40 INDIAN ,4,,4.8,2.5,0.3,118,"Android OS, v7.0 (Nougat)",1,2,2,0+3,8,1,32,1400,,,4,,1.3,,2599
595,Karbonn A41 Power ,4,,,,,130,"Android OS, v7.0 (Nougat)",1,2,2,0+3,8,1,32,2300,,,4,,1.3,,2840
