device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Lenovo A269i ,3.5,,,,,112.0,"Android OS, v2.3 (Gingerbread)",1,2,0,,0.5,0.25,32,1300,,Cortex-A7,2.0,,1.0,Mali-400,269
Lenovo S60 Sisley ,5.0,,5.6,2.8,0.3,128.0,"Android OS, v4.4.2 (KitKat)",1,13,1,5,8.0,2.0,32,2150,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"6,990"
Lenovo K3 Note Music ,5.5,,,,,150.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,32,2900,,Cortex A53,8.0,Mali-T760 MP2,1.7,,"12,700"
Lenovo P70 ,5.0,,5.5,2.8,0.3,149.0,"Android OS, v4.4 (KitKat)",1,13,1,5,16.0,2.0,32,4000,,Cortex-A53,8.0,,1.7,Mali-T760MP2,"9,999"
Lenovo A6600 Plus ,5.0,,5.5,2.8,0.3,142.0,"Android OS, v6.0 (Marshmallow)",1,8,1,2,16.0,2.0,32,2300,MT6735P,Cortex-A53,4.0,MediaTek ,1.0,Mali-T720MP2,6600
Lenovo A6000 ,5.0,,5.5,2.7,0.3,128.0,"Android OS, v4.4.4 (KitKat)",1,8,1,2,8.0,1.0,32,2300,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,6000
Lenovo Vibe K5 Note 64GB ,5.5,,5.9,2.9,0.3,165.0,"Android OS, v6.0 (Marshmallow)",1,13,1,8,64.0,4.0,128,3500,Helio P10,Cortex-A53,8.0,Mediatek MT6755,1.8+1.0,Mali-T860MP2,"10,990"
Lenovo Phab 2 ,6.4,,6.8,3.5,0.3,225.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,128,4050,MT8735,Cortex-A53,4.0,Mediatek,1.3,Mali-T720MP2,"9,999"
Lenovo K9 Note ,5.9,,,,,,"Android OS, v8.0 (Oreo)",2,16+16,1,8,32.0,3.0,256,4100,Snapdragon 630,Cortex A53,8.0,Qualcomm,1.2,,16990
Lenovo Z5 ,6.2,,,,,,"Android OS, v8.0 Oreo",2,16+8,1,8,64.0,6.0,0,3300,Snapdragon 636,Kryo 260,8.0,Qualcomm SDM636,1.8,Adreno 509,"13,600"
Lenovo K8 ,5.2,,,,,,"Android OS, v7.1.1 (Nougat)",1,13,1,8,32.0,3.0,128,4000,Helio P20,Cortex A53,8.0,MediaTek,2.3,,"8,590"
Lenovo K6 Power ,5.0,,5.5,2.7,0.3,145.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,8,32.0,3.0,128,4000,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937 ,1.4,Adreno 505,"9,099"
Lenovo K8 Plus 4GB RAM ,5.2,Corning Gorilla Glass 3,5.8,2.9,0.3,165.0,"Android OS, v7.1.1 (Nougat)",2,13+5,1,8,32.0,4.0,128,4000,Helio P25,Cortex A53,8.0,MediaTek,2.6,Mali-T880 MP2,"8,224"
Lenovo Vibe B ,4.5,,5.2,2.6,0.3,144.0,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,32,2000,MT6735,Cortex A53,4.0,MediaTek,1.0,Mali-T720 MP2,"4,999"
Lenovo K6 Note ,5.5,,5.9,2.9,0.3,169.0,"Android OS, v6.0 (Marshmallow)",1,16,1,8,32.0,3.0,128,4000,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937 ,1.5,Adreno 505,"8,240"
Lenovo K6 Power 4GB RAM ,5.0,,5.5,2.7,0.3,145.0,"Android OS, v6.0 (Marshmallow)",1,13,1,8,32.0,4.0,128,4000,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"9,599"
Lenovo Vibe K5 Note (4GB RAM) ,5.5,,5.9,2.9,0.3,165.0,"Android OS, v6.0 (Marshmallow)",1,13,1,8,32.0,4.0,128,3500,Helio P10,Cortex-A53,8.0,Mediatek MT6755,1.8,Mali-T860MP2,"9,490"
Lenovo K8 Note ,5.5,Corning Gorilla Glass 3,6.0,2.9,0.3,138.0,"Android OS, v7.1.1 (Nougat)",2,13+5,1,13,32.0,3.0,256,4000,Helio X23,Cortex A72,10.0,MediaTek,2.3,Mali-T880 MP4,"9,237"
Lenovo K8 Note 64GB ,5.5,Corning Gorilla Glass 3,6.0,2.9,0.3,180.0,"Android OS, v7.1.1 (Nougat)",2,13+5,1,13,64.0,4.0,256,4000,Helio X23,,10.0,Mediatek,2.3,Mali-T880 MP4,"11,499"
