device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Xiaomi Mi A2 ,5.7,Corning Gorilla Glass,,,,,"Android OS, v8.0 (Oreo)",1,13,1,8,64.0,4.0,256,3300,Snapdragon 630,Cortex A53,8.0,Qualcomm,2.2,Adreno 508,14999
Xiaomi Redmi 2 ,4.7,Corning Gorilla Glass 2,5.2,2.6,0.3,133.0,"Android OS, v4.4.4 (KitKat)",1,8,1,2,8.0,1.0,32,2200,Snapdragon 410,Cortex-A53,4.0,HiSilicon,1.2,Adreno 306,"5,999"
Xiaomi Redmi 5 (32GB) ,5.7,Corning Gorilla Glass,5.9,2.8,0.3,157.0,"Android OS, v7.1.2 (Nougat)",1,12,1,5,32.0,3.0,128,3300,Snapdragon 450,Cortex-A53,8.0,Qualcomm,1.8,Adreno 506,"8,999"
Xiaomi Mi A1 ,5.5,,6.1,2.9,0.2,165.0,"Android OS, 7.1.2 Nougat",1,12,1,5,64.0,4.0,128,3080,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"13,999"
Xiaomi Redmi Note 4 64GB ,5.5,,5.9,2.9,0.3,165.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,64.0,4.0,128,4100,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"10,999"
Xiaomi Redmi 4 ,5.0,,5.4,2.7,0.3,150.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,5,16.0,2.0,128,4100,Snapdragon 435,Cortex-A53,8.0,Qualcomm MSM8940,1.4,Adreno 505,"9,499"
Xiaomi Redmi 5 (64GB) ,5.7,Corning Gorilla Glass,5.9,2.8,0.3,157.0,"Android OS, v7.1.2 (Nougat)",1,12,1,5,64.0,4.0,128,3300,Snapdragon 450,Cortex-A53,8.0,Qualcomm,1.8,Adreno 506,"10,999"
Xiaomi Redmi Y2 64GB ,5.99,,6.2,3.0,0.3,170.0,"Android OS, v8.1 (Oreo)",2,12+5,1,16,64.0,4.0,256,3080,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"12,999"
Xiaomi Redmi Note 5 64GB ,5.99,Corning Gorilla Glass,6.2,2.9,0.3,180.0,"Android OS, v7.1.2 (Nougat)",1,12,1,5,64.0,4.0,128,4000,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"11,999"
Xiaomi Redmi Note 5 ,5.99,Corning Gorilla Glass,6.2,2.9,0.3,180.0,"Android OS, v7.1.2 (Nougat)",1,12,1,5,32.0,3.0,128,4000,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"9,999"
Xiaomi Redmi 5A 32GB ,5.0,,5.5,2.7,0.3,137.0,"Android OS, v7.1.2 (Nougat)",1,13,1,5,32.0,3.0,128,3000,Snapdragon 425,Cortex A53,4.0,Qualcomm MSM8917,1.4,Adreno 308,"6,999"
Xiaomi Redmi 4A 3GB RAM ,5.0,,5.5,2.7,0.3,131.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,5,32.0,3.0,128,3120,Snapdragon 425,Cortex-A53,4.0,Qualcomm MSM8917,1.4,Adreno 308,"6,999"
Xiaomi Redmi 5 ,5.7,Corning Gorilla Glass,5.9,2.8,0.3,157.0,"Android OS, v7.1.2 (Nougat)",1,12,1,5,16.0,2.0,128,3300,Snapdragon 450,Cortex-A53,8.0,Qualcomm,1.8,Adreno 506,"7,999"
Xiaomi Redmi Note 5 Pro ,5.99,,6.2,2.9,0.3,181.0,"Android OS, v7.1.2 (Nougat)",2,12+5,1,20,64.0,4.0,128,4000,Snapdragon 636,Kryo 260,8.0,Qualcomm SDM636,1.8,Adreno 509,"14,999"
Xiaomi Redmi 5A ,5.0,,5.5,2.7,0.3,137.0,"Android OS, v7.1.2 (Nougat)",1,13,1,5,16.0,2.0,128,3000,Snapdragon 425,Cortex A53,4.0,Qualcomm,1.4,Adreno 308,"5,999"
Xiaomi Redmi Note 5 Pro 6GB RAM ,5.99,,6.2,2.9,0.3,181.0,"Android OS, v7.1.2 (Nougat)",2,12+5,1,20,64.0,6.0,128,4000,Snapdragon 636,Kryo 260,8.0,Qualcomm SDM636,1.8,Adreno 509,"16,999"
