device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Intex Aqua Life II ,5.0,,,,,,"Android OS, v4.4 (Kitkat)",1,5,2,1+3,8.0,1.0,32,2000,,,4.0,,1.2,,"4,859"
Intex Aqua S2 ,5.0,,,,,153.0,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8.0,1.0,32,2450,,Cortex A7,4.0,,1.2,Mali-400MP,"4,849"
Intex Aqua Wing ,4.0,,,,,115.0,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8.0,1.0,32,1500,,Cortex A53,4.0,,1.0,,"4,836"
Intex Cloud Force ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8.0,1.0,32,2500,,,4.0,,1.3,,"4,800"
Intex Cloud Scan FP ,5.0,,,,,153.0,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8.0,1.0,32,2450,,Cortex A7,4.0,,1.2,Mali400MP,"4,799"
Intex Cloud V ,5.0,,,,,160.0,"Android OS, v4.4 (Kitkat)",1,8,1,2,8.0,0.5,32,2000,,Cortex A7,4.0,Spreadtrum SC7731,1.2,Mali-400 MP2,"4,799"
Intex Aqua Y2 Pro ,4.5,,,,,141.0,"Android OS, v4.4 (KitKat)",1,5,2,0+3,4.0,0.5,32,1600,,Cortex A7,2.0,MediaTek MT6572,1.0,Mali-400 MP,"4,790"
Intex Aqua Slice II ,5.0,,,,,97.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,2000,,Cortex A7,4.0,Spreadtrum SC7731,1.2,Mali-400 MP2,"4,700"
Intex Aqua Air II ,5.0,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,8.0,1.0,32,2300,,Cortex A7,2.0,MediaTek MT6572W,1.2,Mali-400 MP,"4,699"
Intex Aqua Glam ,4.7,,,,,116.0,"Android OS, v5.1 (Lollipop)",1,8,1,8,8.0,1.0,32,1850,,,4.0,,1.3,,"4,600"
Intex Aqua Strong 5.2 ,5.0,,,,,150.0,"Android OS, v6.0 (Marshmallow)",1,5,1,2,16.0,2.0,32,2800,,,4.0,MediaTek MT6735,1.0,,"6,600"
Intex Aqua Star 2 16 GB ,5.0,,5.5,2.8,0.3,122.0,"Android OS, v4.4 (KitKat)",1,8,1,5,16.0,2.0,32,2000,,,4.0,Spreadtrum 7731,1.2,Mali-400,"6,049"
Intex Aqua Power II ,5.0,,,,,152.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,4000,,,4.0,,1.3,,"5,999"
Intex Aqua Ace II ,5.0,,,,,149.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,3.0,32,3000,,Cortex A53,4.0,,1.3,,"9,999"
Intex Aqua Ace ,5.0,,5.7,2.8,0.2,121.5,"Android OS, v5.0.1 (Lollipop)",1,13,1,5,16.0,3.0,128,2300,,Cortex-A53,4.0,,1.3,Mali-T720MP2,"9,990"
Intex Aqua GenX ,5.5,,,,,175.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,128,2850,,Cortex A53,8.0,,1.3,Mali-T720 MP3,"8,889"
Intex Aqua Ace II Champ ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,3.0,32,3000,,Cortex A53,4.0,MediaTek MT6735,1.3,Mali-T720 MP2,"8,699"
Intex Aqua Music ,5.5,,,,,159.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,2.0,32,3400,,Cortex-A53,4.0,,1.3,Mali T720 MP2,"8,500"
Intex Aqua Shine 4G ,5.0,,,,,,"Android OS, v5.0 (Lollipop)",1,8,1,5,16.0,2.0,32,3000,,Cortex,4.0,,1.3,,"8,499"
Intex Cloud Glory 4G ,4.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,32,1800,,Cortex A53,4.0,,1.0,MaliT720-MP1,"8,029"
Intex Aqua Power ,5.0,,5.5,2.8,0.3,160.0,"Android OS, v4.4 (KitKat)",1,8,1,2,8.0,1.0,32,4000,,Cortex-A7,8.0,Mediatek MT6592M,1.4,Mali-450MP4,"7,200"
Intex Elyt-e1 ,5.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,8,16.0,2.0,128,2200,Snapdragon 410,,4.0,Qualcomm,1.2,,"7,200"
Intex Cloud Power Plus ,5.0,,,,,156.0,"Android OS, 5.0 (Lollipop)",1,13,1,5,16.0,2.0,32,4000,,Cortex A7,4.0,MediaTek MT6582M,1.3,Mali-400,"7,109"
Intex Aqua Eco 4G ,4.0,,,,,121.0,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,4.0,0.5,32,1400,,Cortex A7,4.0,,1.5,,"7,000"
Intex Cloud Cube ,4.5,,,,,145.0,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,8.0,0.5,32,2000,,Cortex-A7,4.0,,1.2,,"5,999"
Intex Aqua Secure ,4.5,,,,,130.0,"Android OS, v5.1 (Lolipop)",1,5,1,2,8.0,1.0,32,1900,,Cortex A53,4.0,,1.0,Mali400,"5,989"
Intex Aqua Lite ,4.0,,,,,115.0,"Android OS, v5.1 (Lollipop)",1,2,1,2,4.0,0.5,32,1400,,Cortex A7,4.0,,1.3,,"5,950"
Intex Aqua Craze ,5.0,,5.6,2.8,0.3,165.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,8.0,1.0,32,2500,Mediatek MT6735P,Cortex-A53,4.0,,1.0,Mali-T720MP2,"5,850"
Intex Cloud Jewel ,5.0,,,,,140.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,16.0,2.0,32,2500,,Cortex A7,4.0,,1.0,Mali-T720,"5,799"
Intex Cloud M6 16GB ,5.0,,,,,122.0,,1,8,1,5,16.0,2.0,32,2000,,,,,,,"5,751"
Intex Aqua Xtreme II ,5.0,,5.5,2.8,0.3,132.0,"Android OS, v4.4 (KitKat)",1,13,1,5,16.0,2.0,32,2000,,Cortex-A7,8.0,Mediatek MT6592M,1.4,Mali-450MP4,"5,699"
Intex Aqua Speed HD 8GB ,4.7,,,,,,"Android OS, v4.4 (Kitkat)",1,8,1,5,8.0,1.0,32,1700,,Cortex A7,4.0,,1.3,Mali-400 MP2,"5,560"
Intex Aqua Dream ,5.5,,,,,145.0,Android v4.4 (KitKat),1,13,1,5,8.0,1.0,32,2300,,Cortex A7,8.0,MediaTek MT6592M,1.4,Mali 450 MP4,"5,490"
Intex Aqua Star II HD ,5.0,,5.5,2.8,0.3,122.0,"Android OS, v4.4.2 (KitKat)",1,8,1,5,8.0,1.0,32,2000,,,,Spreadtrum 7731,,Mali-400,"5,200"
Intex Aqua Desire HD ,5.0,,,,,,"Android OS, v4.4 (KitKat)",1,10,1,5,8.0,1.0,32,2000,,,8.0,MediaTek MT6592M,1.4,,"5,099"
Intex Aqua Y2 Ultra ,4.0,,4.8,2.4,0.3,108.0,"Android OS, v4.4 (Kitkat)",1,5,2,0+3,8.0,1.0,32,1400,SC7731G,Cortex A7,4.0,Spreadtrum,1.2,Mali-400 MP2,"5,050"
Intex Cloud Pace ,4.5,,,,,120.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,2.0,32,1700,,,4.0,,1.3,,"5,000"
Intex Cloud Zest ,5.0,,,,,152.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,4000,,Cortex A7,4.0,,1.3,Mali-400 MP2,"4,999"
Intex Aqua 4G Strong 8GB ,4.0,,,,,109.0,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,8.0,1.0,32,1700,,Cortex A53,4.0,MediaTek MT6735M,1.0,,"4,900"
Intex Aqua Y4 ,4.5,,,,,132.0,"Android OS, v4.4 (Kitkat)",1,5,1,2,4.0,0.5,32,1700,,Cortex A7,2.0,,1.0,Mali-400,"4,590"
Intex Aqua Zenith ,5.0,,,,,,"Android OS, v7.0 (Nougat)",1,5,1,2,8.0,1.0,128,2000,MT6592,,4.0,MediaTek,1.1,,"4,400"
Intex Aqua Dream II ,5.5,,,,,,"Android OS, v4.4.2",1,8,1,2,8.0,1.0,32,2300,,,4.0,,1.2,,"4,556"
Intex Aqua Q5 ,4.5,,,,,138.0,"Android OS, v4.4 (Kitkat)",1,8,1,2,8.0,1.0,32,1600,,Cortex A7,4.0,Spreadtrum SC7731G,1.3,Mali-400 MP2,"4,550"
Intex Aqua Q1 Plus ,4.5,,,,,120.0,"Android OS, v4.4 (KitKat)",1,5,2,1+3,8.0,0.5,32,1600,,Cortex A7,4.0,Spreadtrum SC7731,1.2,Mali-400 MP2,"4,500"
Intex Aqua R3 Plus ,3.5,,,,,120.0,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,32,1300,,,1.0,,1.0,,"4,499"
Intex Aqua Freedom ,5.0,,,,,150.0,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,3000,,Cortex A7,4.0,MediaTek MT6580,1.3,Mali-400 MP,"4,500"
Intex Cloud Matte ,5.0,,,,,165.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,8.0,0.5,32,2100,,,4.0,,1.2,MALI-400MP2,"4,498"
Intex Aqua Crystal ,5.0,,,,,139.0,,1,8,1,5,8.0,1.0,32,2100,,,4.0,,1.2,,"4,447"
Intex Aqua Strong 5.1 ,5.0,,,,,150.0,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,32,2800,,Cortex A53,4.0,,1.0,Mali-T720 MP1,"4,400"
Intex Aqua Young ,5.0,,,,,158.0,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8.0,1.0,32,2500,,,4.0,,1.3,,"4,400"
Intex Aqua Classic ,5.0,,,,,160.0,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8.0,1.0,32,2100,,Cortex A7,4.0,,1.2,,"4,299"
