device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Panasonic Eluga I2 Activ (2GB RAM) ,5.0,,5.6,2.7,0.3,133.0,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,2.0,128,2200,MT6737,Cortex A53,4.0,MediaTek,1.2,Mali-T720 MP2,"5,280"
Panasonic Eluga Mark 2 ,5.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,128,3000,,,8.0,MediaTek MT6753,1.3,,"7,199"
Panasonic Eluga Ray X ,5.5,Corning Gorilla Glass,6.0,3.0,0.4,193.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,64,4000,MT6737,Cortex-A53,4.0,MediaTek ,1.3,Mali-T720 MP2,"8,999"
Panasonic P88 ,5.3,Asahi Dragontrail Glass,,,,156.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,2.0,128,2600,MT6737M,Cortex-A53,4.0,Mediatek,1.2,Mali-T720MP2,"6,649"
Panasonic Eluga Note ,5.5,,5.7,2.9,0.3,142.0,"Android OS, v6.0.1 (Marshmallow)",1,16,1,5,32.0,3.0,64,3000,MT6753,Cortex-A53,8.0,MediaTek,1.3,Mali-T720 MP3,"7,399"
Panasonic Eluga I2 ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,2,8.0,1.0,32,2000,,,4.0,,1.0,,"4,890"
Panasonic P9 ,5.0,Asahi Dragontrail Glass,5.6,2.8,0.3,144.0,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,1.0,32,2210,MT6737M,Cortex-A53,4.0,Mediatek,1.1,Mali-T720MP2,"5,549"
Panasonic Eluga A2 ,5.0,,,,,,"Android OS, v5.1 (lollipop)",1,8,1,5,16.0,3.0,128,4000,,Cortex A53,4.0,,1.0,Mali-T720 MP2,"7,290"
Panasonic P55 Novo 3GB RAM ,5.3,,5.8,2.9,0.3,164.0,Android v6.0 (Marshmallow),1,13,1,5,16.0,3.0,32,2500,MediaTek MT6592M,Cortex A7,8.0,MediaTek ,1.4,Mali-450 MP4,"7,899"
Panasonic P66 Mega ,5.0,,5.6,2.7,0.3,155.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,16.0,2.0,32,3200,MT6735,Cortex A53,4.0,MediaTek ,1.3,Mali-T720 MP2,"5,490"
Panasonic Eluga I4 ,5.0,,5.7,2.8,0.3,150.0,"Android OS, v7.1.1 (Nougat)",1,8,1,5,16.0,2.0,128,3000,MT6737,Cortex-A53,4.0,Mediatek,1.2,,"6,499"
Panasonic Eluga A3 Pro ,5.2,,5.8,2.8,0.3,161.0,"Android OS, v7.0 (Nougat)",1,13,1,8,32.0,3.0,128,4000,MT6753,Cortex A53,8.0,MediaTek,1.3,Mali-T720 MP3,"8,690"
Panasonic Eluga Ray Max 64GB ,5.2,Corning Gorilla Glass 3,5.8,2.8,0.3,165.0,"Android OS, v6.0 (Marshmallow)",1,16,1,8,64.0,4.0,128,3000,Snapdragon 430,Cortex A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"10,490"
Panasonic P55 Max ,5.5,Asahi Dragontrail Glass,5.9,2.8,0.3,180.0,"Android OS, v7.0 (Nougat)",1,13,1,5,16.0,3.0,128,5000,MT6737,Cortex-A53,4.0,Mediatek,1.3,Mali-T720,"7,999"
Panasonic P91 ,5.0,,5.6,2.8,0.3,161.0,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,1.0,128,2500,MT6737M,Cortex A53,4.0,MediaTek,1.1,Mali T720,"4,390"
Panasonic Eluga A4 ,5.2,NEG2 Glass,5.8,2.9,0.3,162.0,"Android OS, v7.0 (Nougat)",1,13,1,5,32.0,3.0,128,5000,MT6737,Cortex-A53,4.0,MediaTek,1.25,Mali-T720MP1,"8,290"
Panasonic P95 ,5.0,,5.5,2.7,0.3,164.0,"Android OS, v7.1.2 (Nougat)",1,8,1,5,16.0,1.0,128,2300,Snapdragon 210,Cortex A53,4.0,Qualcomm,1.3,,"4,999"
Panasonic Eluga Ray 700 ,5.5,Corning Gorilla Glass v3,6.0,2.9,0.3,182.0,"Android OS, v7.0 (Nougat)",1,13,1,13,32.0,3.0,128,5000,MT6753,Cortex A53,8.0,MediaTek,1.3,Mali-T720 MP3,"9,869"
