device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Lava X38 2GB RAM ,5,,,,,162,"Android OS, v6.0 (Marshmallow)",1,8,1,2,8,2,32,4000,,Cortex A53,4,MediaTek MT6735P,1,Mali-T720 MP2,7999
Lava X46 ,5,,5.6,2.8,0.3,,"Android OS, v5.1 (Lollipop)",1,8,1,5,8,2,32,2500,,,4,,1.3,,7199
Lava V2 ,5,Asahi Dragontrail Glass,5.5,2.7,0.3,128,"Android OS, v6.0 (Marshmallow)",1,13,1,8,16,3,32,2500,MediaTek MT6735,Cortex-A53,4,,1.3,Mali-T720MP2,6999
Lava V2s ,5,,,,,129,"Android OS, v5.1 (Lollipop)",1,8,1,8,8,2,32,2500,,,4,,1,,6857
Lava X50 Plus ,5.5,,6.1,2.8,0.3,155,"Android OS, v6.0 (Marshmallow)",1,8,1,5,32,2,32,2800,,,4,,1.3,,6789
Lava X50 ,5.5,,6.1,2.8,0.3,,"Android OS, v5.1 (Lollipop)",1,8,1,5,8,2,32,2800,,,4,,1.3,,6360
Lava X38 ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,2,8,1,32,4000,,,4,,1,,6360
Lava P7 ,5,,5.6,2.8,0.3,153.1,"Android OS, v5.1 (Lollipop)",1,5,1,2,8,1,32,2000,,,4,,1.2,,6300
Lava X17 ,5,,5.7,2.8,0.3,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8,1,32,2350,,,4,,1.3,,6099
Lava X28 ,5.5,,6.1,3,0.3,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8,1,32,2600,,,4,,1.3,,5901
Lava Iris X1 Selfie ,4.5,,,,,140,"Android OS, v5.1 (Lollipop)",1,8,1,5,8,1,32,2000,,Cortex A7,4,,1.3,Mali-400,5599
Lava Magnum X604 ,6,,,,,207,"Android OS, v4.4 (KitKat)",1,8,1,2,8,1,32,2800,,,4,,1.2,,5599
Lava X3 ,5,,5.6,2.8,0.3,142," Android OS, v5.1 (Lollipop)",1,8,1,5,8,2,32,2500,,,4,,1.3,,5999
Lava Arc Grand 2 ,2.8,,,,,,,1,1.3,0,,,,32,1200,,,,,,,1750
Lava KKT Mega ,2.8,,,,,113,,1,0.3,0,,,,32,1750,,,,,,,1700
Lava KKT 40 Power ,2.4,,,,,,,1,0.3,0,,,,8,2700,,,,,,,1599
Lava Spark One ,2.4,,,,,,,1,0.3,0,,,,32,1750,,,,,,,1387
Lava KKT Curve ,2.4,,,,,96,,1,1.3,0,,,,32,1800,,,,,,,1329
Lava KKT Star 2 ,2.4,,,,,,,1,0.3,0,,,,32,1800,,,,,,,1324
Lava KKT iPRO ,1.8,,,,,,,1,0.3,0,,,,32,1750,,,,,,,974
Lava KKT 9s ,1.8,,4.4,1.8,0.5,136,,1,0.3,0,,,,32,1750,,,,,,,980
Lava Arc 105 ,1.7,,,,,68,,1,0.3,0,,,,32,800,,,,,,,890
Lava Flair Z1 ,5,,,,,160,"Android OS, v5.0 (Lollipop)",1,5,1,2,8,1,32,2000,,,4,,1.3,,4950
Lava P7 Plus ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8,1,32,2500,,Cortex A7,4,MediaTek MT6580,1.3,Mali-400 MP,4839
Lava A67 ,5,,,,,152,"Android OS, v5.1 (Lollipop)",1,5,1,2,4,0.5,32,2000,,,4,,1.2,,3999
Lava A82 ,5,,5.6,2.8,0.3,,"Android OS, v5.1 (Lollipop)",1,5,1,2,8,1,32,2000,,,4,,1.2,,3899
Lava KKT Trio Plus ,2.8,,,,,,,1,1.3,0,,,,32,2800,,,,,,,1900
Lava A56 ,5,,,,,,"Android OS, v4.4 (KitKat)",1,5,2,0+3,4,0.5,32,1850,,,2,,1.3,,2699
Lava Spark Curvy Plus ,2.8,,,,,,,1,1.3,0,,,,32,1750,,,,,,,1699
Lava KKT Trio ,2.8,,,,,127,,1,1.3,0,,,,16,2800,,,,,,,1589
Lava KKT Jumbo ,2.8,,,,,,,1,0.3,0,,,,32,4000,,,,,,,1490
Lava Captain 9s ,1.8,,,,,,,1,0.3,0,,,,32,1750,,,,,,,959
Lava Captain K1 Plus ,1.8,,,,,,,1,0.3,0,,,,32,1750,,,,,,,935
Lava V5 ,5.5,,,,,153.2,"Android OS, v5.1 (Lollipop)",1,13,1,8,16,3,32,3000,,,4,,1.3,,12000
Lava Iris X9 ,5.5,,,,,,"Android OS, v5.0 (Lollipop)",1,13,1,8,16,2,32,2500,,Cortex A7,4,,1.3,Mali-400 MP2,10300
Lava Iris X8 ,5,,5.6,2.8,0.3,160,"Android OS, v4.4.2 (KitKat)",1,8,1,3,16,2,32,2500,,Cortex-A7,8,,1.4,,7999
Lava Pixel V2 ,5,,5.5,2.7,0.3,128,"Android OS, v5.1 (Lollipop)",1,13,1,8,16,2,32,2500,,Cortex-A53,4,,1.3,Mali-T720MP2,7399
Lava Pixel V1 ,5.5,,5.9,3,0.3,135,"Android OS, v5.1.1 (Lollipop)",1,13,1,8,32,2,32,2560,,,4,,1.3,Mali-400MP2,7350
Lava X81 ,5,,5.6,2.8,0.3,,"Android OS, v6.0.1 (Marshmallow)",1,13,1,5,16,3,64,2700,,,4,Mediatek MT6735,1.3,,7249
Lava Iris X5 ,5,,5.6,2.8,0.3,134,"Android OS, v4.4 (KitKat)",1,8,1,5,8,1,32,2100,,,4,,1.2,,4999
Lava Iris Atom ,4,,4.9,2.4,0.3,110,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,0.5,32,1550,,,4,,1.3,,4000
Lava ARC Grace ,2.8,,,,,,,1,0.3,0,,,,32,1300,,,,,,,9990
Lava CG142J ,2.4,,,,,92,,1,0.3,0,,,,8,1400,,,,,,,2000
Lava Pixel V2 Plus ,5,,,,,,"Android OS, v5.1 (Lollipop)",1,13,1,5,16,2,32,2500,,,4,,1.3,,6669
Lava Captain K2 ,1.8,,,,,,,1,0.3,0,,,,32,1750,,,,,,,899
Lava A97 Plus ,5,,5.7,2.8,0.3,160,"Android OS, v7.0 (Nougat)",1,8,1,5,16,2,32,2350,,,4,,1.3,,4999
Lava KKT 28i ,2.8,,,,,,,1,1.3,0,,,,16,1800,,,,,,,1399
Lava Z90 ,5.2,Corning Gorilla Glass 3,5.8,2.8,0.3,159,"Android OS, v7.0 (Nougat)",2,8+2,1,8,32,3,64,2750,MT6737,Cortex-A53,4,Mediatek,1.3,Mali-T720MP2,8999
Lava A77 ,4.5,,5.3,2.6,0.3,140,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8,1,64,2000,SC9832,Cortex A7,4,Spreadtrum,1.3,Mali-400,3990
Lava A97 2GB RAM ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8,2,32,2350,,,4,,1.3,,4892
Lava Z10 (3GB RAM) ,5,,5.6,2.8,0.3,148,"Android OS, v6.0 (Marshmallow)",1,8,1,5,16,3,128,2620,MT6737,Cortex-A53,4,Mediatek,1.3,Mali-T720MP2,6599
Lava Z70 ,5,,5.6,2.7,0.3,140,"Android OS, v7.0 (Nougat)",1,8,1,5,16,2,128,2500,MT6737,Cortex A53,4,MediaTek,1.3,Mali-T720 MP2,6950
Lava Z25 ,5.5,,5.9,3,0.3,163,"Android OS, v6.0 (Marshmallow)",1,13,1,8,32,4,128,3020,MT6750,Cortex-A53,8,Mediatek,1.5,Mali-T860MP2,13499
Lava Z50 ,4.5,,,,,,"Android OS, v8.1 (Oreo)",1,5,1,5,8,1,128,2500,,,4,MediaTek,1.1,,4399
Lava A52 ,4,,,,,,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,4,0.5,32,1200,,,2,,1.3,,2499
Lava Z60 ,5,,5.6,2.8,0.3,149,"Android OS, 7.0 (Nougat)",1,5,1,5,16,1,64,2500,MT6737M,Cortex-A53,4,Mediatek,1.1,Mali-T720MP2,4985
