device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Acer Z630S ,5.5,,6.1,3.0,0.3,165.0,"Android OS, v5.1 (Lollipop)",1,8,1,8,32.0,3.0,128,4000,,Cortex-A53,8.0,Mediatek MT6753,1.3,Mali-T720MP3,"7,190"
Acer Liquid Z530 ,5.0,,5.6,2.7,0.3,145.0,"Android OS, v5.1 (Lollipop)",1,8,1,8,16.0,2.0,MicroSD,2420,,Cortex-A53,4.0,,1.3,Mali-T720MP2,"6,999"
Acer Liquid ,5.5,,6.1,3.0,0.3,165.0,"Android OS, v5.1 (Lollipop)",1,8,1,8,32.0,3.0,MicroSD,4000,,Cortex-A53,8.0,Mediatek MT6753,1.3,Mali-T720MP3,"7,290"
