device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Micromax Bolt S301 ,3.5,,,,,,"Android OS, v4.4.2 (KitKat)",1,1.3,0,,4.0,0.5,16,1200,,,1.0,,1,,"1,999"
Micromax X803 ,2.4,,,,,,,1,0.3,0,,,,32,950,,,,,,,"1,425"
Micromax X800 ,2.4,,,,,,,1,0.3,0,,,,8,1800,,,,,,,"1,390"
Micromax X706 ,2.4,,,,,,,1,0.3,0,,,,16,1800,,,,,,,"1,285"
Micromax X601 ,2.4,,,,,63.0,,1,0.3,0,,,,8,1450,,,,,,,899
Micromax Canvas 5 ,5.2,Corning Gorilla Glass 3,,,,,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,3.0,64,2900,,Cortex-A53,8.0,Mediatek MT6753,1.3,Mali-T720MP3,"7,000"
Micromax canvas mega E353 ,5.5,Corning Gorilla Glass 3,6.0,3.1,0.3,,"Android OS, v5.1 (Lollipop)",1,13,1,5,8.0,1.0,32,2820,MediaTek MT6592M,Cortex A7,8.0,MediaTek ,1.4,Mali-450 MP4,"4,888"
Micromax X771 ,2.4,,,,,,,1,1.3,2,0+3,,,64,1750,,,,,,,"1,375"
Micromax X908 ,2.8,,,,,,,1,0.3,0,,,,16,1450,,,,,,,"1,210"
Micromax Bolt X088 ,1.8,,,,,60.0,,1,0.3,0,,,,4,950,,,,,1800,,899
Micromax X409 ,1.8,,,,,,,1,0.3,2,0+3,,,32,800,,,,,,,769
Micromax Q412 Fire 4G Plus ,4.7,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,5,8.0,1.0,32,2000,,Cortex-A53,4.0,,1,MT6735P ,"8,199"
Micromax Unite 3 Q372 ,,,,,,,"Android OS, v5.0 (Lollipop)",1,8,1,2,8.0,1.0,32,2000,,Cortex-A7,4.0,Mediatek MT6582M,1.3,Mali-400MP2,"6,500"
Micromax Vdeo 4 ,5.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,2,8.0,1.0,32,4000,Snapdragon 210,,4.0,Qualcomm,1.1,,"5,499"
Micromax X1i Pop ,2.4,,,,,,,1,0.3,2,0+3,,,16,1750,,,,,,,889
Micromax Dual 5 ,5.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,13,1,13,128.0,4.0,128,3200,Snapdragon 652,Cortex-A72,8.0,Qualcomm MSM8976,1.8+1.4,Adreno 510,"21,200"
Micromax Canvas Xpress 4G ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,8,1,2,16.0,2.0,32,2000,,Cortex-A53,4.0,Mediatek MT6735P,1.0,Mali-T720MP2,"4,488"
Micromax Bharat 3 ,4.5,,,,,145.0,"Android OS, v7.0 (Nougat)",1,5,1,5,8.0,1.0,32,2000,MT6737,Cortex A53,4.0,MediaTek,1.3,Mali-T720 MP2,"4,049"
Micromax Bolt A58 ,3.5,,,,,,"Android OS, v4.2 (Jelly Bean)",1,2,0,,0.5,0.5,32,1200,,,2.0,,1.0,,"2,649"
Micromax X713 ,2.4,,4.8,2.0,0.5,84.0,,1,0.3,0,,,,,1000,,,,,,,929
Micromax Canvas Amaze 2 E457 ,5.0,,,,,,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,32,2500,Snapdragon 415,Cortex-A53,8.0,Qualcomm MSM8929,1.4+1.0,Adreno 405,"7,400"
Micromax X556 ,1.8,,,,,,,1,0.3,0,,,,8,800,,,,,,,733
Micromax x707 ,2.4,,,,,,,1,0.3,0,,,,16,1000,,,,,,,910
