device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Nokia Lumia 830 ,5.0,,5.4,2.7,0.3,150.0,"Microsoft Windows OS, v8.1",1,10,2,0+9,16.0,1.0,128,2200,Snapdragon 400,Cortex-A7,4.0,Qualcomm ,1.2,Adreno 305,"18,899"
Nokia Lumia 720 ,4.3,,5.0,2.6,0.3,128.0,Microsoft Windows 8,1,6.7,2,1+3,8.0,0.5,64,2000,,,2.0,,1.0,Adreno 305,"14,490"
Nokia Lumia 525 ,4.0,,4.7,2.5,0.3,124.0,Microsoft Windows 8,1,5,0,,8.0,1.0,64,1430,,,2.0,Qualcomm MSM8227,1.0,Adreno 305,"13,100"
Nokia Lumia 920 ,4.5,,5.1,2.7,0.4,185.0,Microsoft Windows 8,1,8,2,1+3,32.0,1.0,0,2000,Snapdragon S4 Plus,,2.0,Qualcomm MSM8960,1.5,Adreno 225,"29,999"
Nokia Asha 206 ,2.4,,4.5,1.9,0.4,91.0,,1,1.3,0,,0.0625,,32,1100,,,,,,,"3,649"
Nokia 222 ,2.4,,4.5,1.9,0.5,79.0,,1,2,0,,0.015625,,32,1100,,,,,,,"2,679"
Nokia Lumia 1320 ,6.0,Corning Gorilla Glass 3,6.4,3.3,0.3,220.0,Microsoft Windows 8,1,5,2,0+3,8.0,1.0,64,3400,Snapdragon 400,Krait 300,2.0,Qualcomm MSM8930AB,1.7,Adreno 305,"9,990"
Nokia C5 ,2.2,,4.4,1.8,0.4,89.0,Symbian OS v9.3,1,3.2,2,0+3,0.048828125,0.125,16,1050,,ARM 11,,,600,,"5,399"
Nokia Lumia 1020 (EOS) ,4.5,,5.1,2.8,0.4,158.0,Microsoft Windows 8,1,41,2,1+2,32.0,2.0,0,2000,Snapdragon S4 Plus,Krait,2.0,Qualcomm MSM8960,1.5,Adreno 225,"47,222"
Nokia X2 Dual SIM ,4.3,,4.7,2.6,0.4,150.0,"Android OS, v4.3 (Jelly Bean)",1,5,2,0+3,4.0,1.0,32,1800,Snapdragon 200,Cortex-A7,2.0,Qualcomm,1.2,Adreno 302,"7,799"
Nokia Lumia 520 ,4.0,,4.7,2.5,0.3,124.0,Windows 8.0,1,5,0,,8.0,0.5,64,1430,Snapdragon S4,,2.0,Qualcomm MSM8227,1.0,Adreno 305,"5,500"
Nokia Asha 230 ,2.8,,3.9,2.3,0.5,89.0,Nokia Asha v1.1,1,1.3,0,,0.0625,,32,1020,,,,,,,"3,299"
Nokia Asha 501 ,3.0,,3.9,2.2,0.4,98.2,Nokia Asha software platform 1.0,1,3.2,0,,0.125,0.0625,32,1200,,,,,1.0,,"4,529"
Nokia 100 ,1.8,,4.3,1.7,0.5,69.6,,0,,0,,,,0,850,,,,,,,999
Nokia X2-02 ,2.2,,4.4,1.9,0.5,71.0,,1,2,0,,0.0625,0.03125,32,1020,,,,,,,"1,999"
Nokia 225 Dual Sim ,2.8,,4.8,2.1,0.4,100.6,Nokia OS,1,2,0,,,0.0078125,32,1200,,,,,,,"2,840"
Nokia 1600 ,1.4,,4.0,1.7,0.6,85.0,,0,,0,,0.00390625,,0,900,,,,,,,"1,399"
Nokia N8 ,3.5,,4.4,2.3,0.5,135.0,Symbian 3 OS,1,12,2,0+3,16.0,0.25,32,1200,,ARM 11,,,680,,"17,090"
Nokia 105 Dual SIM ,1.4,,4.2,1.7,0.5,69.6,,0,,0,,,0.00390625,,800,,,,,,,"1,132"
Nokia Lumia 730 ,4.7,Corning Gorilla Glass 3,5.3,2.7,0.3,130.0,Microsoft Windows Phone 8.1,1,6.7,1,5,8.0,1.0,128,2200,Snapdragon 400,Cortex-A7,4.0,Qualcomm,1.2,Adreno 305,"11,250"
Nokia XL ,5.0,,5.5,3.0,0.4,190.0,"Android OS, v4.1 (Jelly Bean)",1,5,1,2,4.0,0.75,32,2000,Snapdragon S4 Play,Cortex-A5,2.0,Qualcomm MSM8225 ,1.0,Adreno 203,"9,900"
Nokia 6 (2018) ,5.5,Corning Gorilla Glass 3,6.0,2.9,0.3,172.0,"Android OS, v8.0 (Oreo)",1,16,1,8,32.0,3.0,128,3000,Snapdragon 630,Cortex A53,8.0,Qualcomm,2.2,Adreno 508,"14,876"
Nokia 3 ,5.0,Corning Gorilla Glass,,,,,"Android OS, v7.0 (Nougat)",1,8,1,8,16.0,2.0,,2650,MT6737,Cortex-A53,4.0,Mediatek,1.3,Adreno 308,"7,499"
Nokia 3.1 ,5.2,Corning Gorilla Glass,5.7,2.7,0.3,138.0,"Android OS, v8.0 (Oreo)",1,13,1,8,16.0,2.0,128,2990,MT6750,Cortex-A53,8.0,Mediatek,1.5+1.0,Mali-T860MP2,"10,750"
Nokia 3310 ,2.4,,4.5,2.0,0.5,133.0,,1,2,0,,0.015625,,32,1200,,,,,,,"2,580"
Nokia 1 ,5.0,,,,,,"Android OS, v8.0 (Oreo)",1,8,1,5,8.0,1.0,128,3000,Snapdragon 212,,4.0,Qualcomm,1.3,,"4,355"
Nokia 6 ,5.5,Corning Gorilla Glass 3,6.0,2.9,0.3,169.0,"Android OS, v7.1.1 (Nougat)",1,16,1,8,32.0,3.0,128,3000,Snapdragon 430,Cortex-A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"12,199"
Nokia 2 ,5.0,Corning Gorilla Glass 3,5.6,2.8,0.3,152.0,"Android OS, v7.1.1 (Nougat)",1,8,1,5,8.0,1.0,128,4100,Snapdragon 212,Cortex-A7,4.0,Qualcomm MSM8909,1.3,Adreno 304,"6,199"
Nokia 8110 4G ,2.4,,5.2,1.9,0.5,117.0,KaiOS,1,2,0,,4.0,0.5,64,1500,Snapdragon 205,Cortex-A7,2.0,Qualcomm MSM8905,1.1,Adreno 304,"6,170"
Nokia 7 Plus ,6.0,Corning Gorilla Glass 3,6.2,2.9,0.3,,"Android Os, v8.0 (Oreo)",2,12+13,1,16,64.0,4.0,256,3800,Snapdragon 660,Cortex A53,8.0,Qualcomm,2.5,Adreno 512,"24,029"
