device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
LG L Fino D295 ,4.5,,5.0,2.6,0.4,145.0,"Android OS, v4.4 (KitKat)",1,8,2,0+3,4.0,1.0,32,1900,,Cortex-A7,4.0,,1.2,Adreno 302,"7,699"
LG L70 ,4.5,,5.0,2.6,0.3,126.0,"Android OS, v4.4 (KitKat)",1,5,2,0+3,4.0,1.0,32,2100,Snapdragon 200,Cortex-A7,2.0,Qualcomm MSM8210 ,1.2,Adreno 302,"12,791"
LG Magna ,5.0,,5.5,2.7,0.4,137.0,"Android OS, v5.0 (Lollipop)",1,8,1,5,8.0,1.0,32,2540,,Cortex-A7,4.0,Mediatek MT6582,1.3,Mali-400MP2,"10,404"
LG H540D Titan ,5.7,,6.0,3.1,0.3,163.0,"Android OS, v5.1 (Lollipop)",1,8,1,5,,1.0,256,3000,,Cortex-A7,8.0,Mediatek MT6592M,1.4,Mali-450MP4,"15,999"
LG G Flex 2 ,5.5,,,,,152.0,"Android OS, v5.0 (Lollipop)",1,13,2,2+1,16.0,2.0,32,3000,Snapdragon 810,Cortex-A53,8.0,Qualcomm MSM8994 ,1.5+2.0,Adreno 430,"24,299"
LG G2 (32 GB) ,5.2,,5.4,2.7,0.3,143.0,"Android OS, v4.2 (Jelly Bean)",1,13,2,2+1,32.0,2.0,0,3000,Snapdragon 800,Krait 400,4.0,Qualcomm MSM8974,2.26,Adreno 330,"20,999"
LG L90 ,4.7,,5.1,2.6,0.3,125.0,"Android OS, v4.4 (KitKat)",1,8,2,0+3,8.0,1.0,32,2540,Snapdragon 400,Cortex-A7,4.0,Qualcomm MSM8226 ,1.2,Adreno 305,"15,532"
LG K8 ,5.0,,5.6,2.8,0.3,157.0,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8.0,1.5,32,2125,,Cortex-A53,4.0,,1.3,Mali-T720,"7,999"
LG Optimus G Pro ,5.5,,5.9,3.0,0.3,172.0,"Android OS, v4.1 (Jelly Bean)",1,13,2,2+1,16.0,2.0,64,3140,,Krait 300,4.0,,1.7,Adreno 320,"12,999"
LG X Power ,5.3,,5.8,2.9,0.3,139.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,5,16.0,2.0,256,4100,,Cortex-A53,4.0,Mediatek MT6735,53,Mali-T720,"10,590"
LG Max ,5.0,,,,,155.0,"Android OS, v5.1 (Lollipop)",1,5,1,5,8.0,1.0,32,2540,,,4.0,,1.3,,"6,980"
LG G4 Stylus ,5.7,,6.0,3.1,0.3,163.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,8.0,1.0,128,3000,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"10,000"
LG Spirit ,4.7,,5.2,2.6,0.3,124.0,"Android OS, v5.0.1 (Lollipop)",1,8,1,1,8.0,1.0,32,2100,,Cortex-A7,4.0,,1.3,Mali-400MP2,"5,140"
LG Nexus 5X 32GB ,5.2,,5.7,2.8,0.3,136.0,"Android OS, v6.0 (Marshmallow)",1,12.3,1,5,32.0,2.0,0,2700,Snapdragon 808,Cortex-A53,6.0,Qualcomm MSM8992,1.44+1.82,Adreno 418,"31,290"
LG Stylus 3 3GB RAM ,5.7,,6.1,3.1,0.2,149.0,"Android OS, v7.0 (Nougat)",1,13,1,8,16.0,3.0,256,3200,,Cortex-A53,8.0,Mediatek MT6750,1.5,Mali-T860MP2,"13,250"
LG G3 32GB ,5.5,,5.7,2.9,0.3,149.0,"Android OS, v4.4 (KitKat)",1,13,2,2+1,32.0,3.0,128,3000,Snapdragon 801,Krait 400,4.0,Qualcomm MSM8974AC ,2.5,Adreno 330,"24,950"
LG Google Nexus 5 32GB ,4.95,,5.4,2.7,0.3,130.0,"Android OS, v5.0 (Lolipop)",1,8,2,1+3,32.0,2.0,0,2300,Snapdragon 800,Krait 400,4.0,Qualcomm MSM8974 ,2.3,Adreno 330,"17,499"
LG K10 (2017) ,5.3,,5.8,2.9,0.3,142.0,"Android OS, v7.0 (Nougat)",1,13,1,5,16.0,2.0,64,2800,,Cortex-A53,8.0,Mediatek MT6750,1.5,Mali-T860MP2,"6,999"
LG K7 ,5.0,,5.6,2.8,0.3,161.0,"Android OS, v5.1 (Lollipop)",1,5,1,5,8.0,1.5,32,2125,,Cortex-A7,4.0,,1.3,Mali-400MP2,"7,799"
LG V30 Plus ,6.0,Corning Gorilla Glass v5,5.9,2.9,0.2,158.0,"Android OS, v7.1.2 (Nougat)",2,16+13,1,5,128.0,4.0,256,3300,Snapdragon 835,Kryo 280,8.0,Qualcomm MSM8998,2.4+1.9,Adreno 540,"39,990"
LG G6 ,5.7,Corning Gorilla Glass 3,5.8,2.8,0.3,163.0,"Android OS, v7.0 (Nougat)",1,13,1,5,64.0,4.0,256,3300,Snapdragon 821,,4.0,Qualcomm,,Adreno 530,"28,250"
LG Q6 Plus ,5.5,,5.6,2.7,0.3,149.0,"Android OS, v7.1 (Nougat)",1,13,1,5,64.0,4.0,2,3000,Snapdragon 435,Cortex-A53,8.0,Qualcomm MSM8940,1.4,Adreno 505,"15,385"
