device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Sony Xperia E ,3.5,,4.4,2.4,0.4,115.7,"Android OS, v4.1 (Jelly Bean)",1,3.15,0,,4.0,0.5,32,1530,Snapdragon S1,Cortex-A5,,Qualcomm MSM7227A,1.0,Adreno 200,"8,400"
Sony Xperia M5 ,5.0,,5.7,2.8,0.3,142.0,"Android OS, v5.0 (Lollipop)",1,21.5,1,13,16.0,3.0,256,2600,Helio X10,Cortex-A53,8.0,Mediatek MT6795,2.0,PowerVR G6200,"31,687"
Sony Xperia Z1 Compact ,4.3,Shatter Proof Glass,5.0,2.5,0.3,137.0,"Android OS, v4.3 (Jelly Bean)",1,20.7,1,2,16.0,2.0,64,2300,Snapdragon 800,Krait 400,4.0,Qualcomm MSM8974,2.2,Adreno 330,"23,490"
Sony Xperia S ,4.3,,5.0,2.5,0.4,144.0,"Android OS, v2.3 (Gingerbread)",1,12,2,1+3,32.0,1.0,0,1750,Snapdragon S3,Scorpion,2.0,Qualcomm MSM8260 ,1.5,Adreno 220,"23,000"
Sony Xperia P ,4.0,,4.8,2.3,0.4,120.0,"Android OS, v2.3 (Gingerbread)",1,8,2,0+3,16.0,1.0,0,1305,,Cortex-A9,2.0,NovaThor U8500,1.0,Mali-400,"17,555"
Sony Xperia Miro ,3.5,,4.4,2.3,0.3,110.0,"Android OS, v4.0 (Ice Cream Sandwich)",1,5,2,0+3,4.0,0.5,32,1500,Snapdragon S1,Cortex-A5,,Qualcomm MSM7225A ,800,Adreno 200,"13,990"
Sony Xperia E4 ,5.0,,5.3,2.9,0.4,144.0,"Android OS, v4.4 (KitKat)",1,5,1,2,8.0,1.0,32,2300,,Cortex-A7,4.0,Mediatek MT6582,1.3,Mali-400MP2,"7,628"
Sony Xperia E Dual ,3.5,,4.4,2.4,0.4,115.0,"Android OS, v4.0 (Ice Cream Sandwich)",1,3.1,0,,4.0,0.5,32,1530,Snapdragon S1,Cortex-A5,,Qualcomm MSM7227A ,1.0,Adreno 200,"8,850"
Sony Xperia ZR ,4.0,,5.1,2.6,0.4,138.0,"Android OS, v4.1.2 (Jelly Bean)",0,,1,13,8.0,2.0,Yes,2300,Snapdragon S4 Pro,,4.0,Qualcomm APQ8064 ,1.5,Adreno 320,"19,431"
Sony Xperia SP ,4.6,,5.1,2.6,0.3,155.0,"Android OS, v4.1 (Jelly Bean)",1,8,2,0+3,8.0,1.0,32,2370,Snapdragon S4 Pro,Krait,2.0,Qualcomm MSM8960T,1.7,Adreno 320,"11,789"
Sony Xperia E1 ,4.0,,4.6,2.4,0.4,120.0,"Android OS, v4.3 (Jelly Bean)",1,3.1,0,,4.0,0.5,32,1750,Snapdragon 200,Cortex-A7,2.0,Qualcomm MSM8210 ,1.2,Adreno 302,"5,500"
Sony Xperia X Dual ,5.0,,5.6,2.7,0.3,153.0,"Android OS, v6.0.1 (Marshmallow)",1,23,1,13,64.0,3.0,256,2620,Snapdragon 650,Cortex-A72,6.0,Qualcomm MSM8956,1.8+1.4,Adreno 510,"25,500"
Sony Xperia Z3 ,5.2,Scratch Resistant Glass,5.7,2.8,0.2,152.0,"Android OS, v4.4.4 (KitKat)",1,20.7,2,2+2,16.0,3.0,128,3100,Snapdragon 801,Krait 400,4.0,Qualcomm MSM8974AC,2.5,Adreno 330,"26,100"
Sony Xperia C5 Ultra Dual ,6.0,,6.4,3.1,0.3,187.0,"Android OS, v5.0 (Lollipop)",1,13,1,13,16.0,2.0,200,2930,,Cortex-A53,8.0,,1.7,Mali-T760MP2,"23,661"
Sony Xperia C3 Dual ,5.5,,6.1,3.1,0.3,149.7,"Android OS, v4.4.2 (KitKat)",1,8,1,5,8.0,1.0,32,2500,Snapdragon 400,Cortex-A7,4.0,Qualcomm MSM8926,1.2,Adreno 305,"14,378"
Sony Xperia X 64GB ,5.0,Scratch-resistant glass,5.6,2.7,0.3,153.0,"Android OS, v6.0.1 (Marshmallow)",1,23,1,13,64.0,3.0,256,2620,Snapdragon 650,Cortex-A72,6.0,Qualcomm MSM8956,1.8+1.4,Adreno 510,"25,500"
Sony Xperia XA1 ,5.0,Scratch-resistant glass,5.7,2.6,0.3,143.0,"Android OS, v7.0 (Nougat)",1,23,1,8,32.0,3.0,256,2300,Helio P20,Cortex-A53,8.0,Mediatek MT6757,2.3+1.6,Mali-T880MP2,"15,990"
Sony Xperia C ,5.0,,5.5,2.9,0.3,153.0,"Android OS, v4.2.2 (Jelly Bean)",1,8,2,0+3,4.0,1.0,32,2390,,Cortex-A7,4.0,,1.2,PowerVR SGX544,"11,990"
Sony Xperia R1 ,5.2,,,,,,"Android OS, v7.0 (Nougat)",1,13,1,8,16.0,2.0,256,2630,Snapdragon 430,Cortex A53,8.0,Qualcomm,1.9,,"9,480"
Sony Xperia XA ,5.0,Scratch-Resistant Glass,5.6,2.6,0.3,137.4,"Android OS, v6.0.1 (Marshmallow)",1,13,1,8,16.0,2.0,200,2300,Helio P10,Cortex-A53,8.0,Mediatek,2.0,Mali-T860MP2,"12,899"
Sony Xperia XA1 Ultra ,6.0,Scratch Resistant Glass,6.5,3.1,0.3,188.0,"Android OS, v7.0 (Nougat)",1,23,1,16,64.0,4.0,256,2700,Helio P20,Cortex-A53,8.0,Mediatek MT6757,2.3+1.6,Mali-T880MP2,"21,499"
Sony Xperia XA1 Plus ,5.5,Corning Gorilla Glass 5,6.1,2.9,0.3,189.0,"Android OS, v7.0 (Nougat)",1,23,1,8,32.0,4.0,256,3430,Helio P20,Cortex-A53,8.0,Mediatek MT6757,2.3+1.6,Mali-T880MP2,"18,990"
